source_id,ra,dec,parallax,pmra,pmdec,cluster,Probability,pm
5350395486857962112,161.1632082663848,-59.34118671302477,0.4070880497044234,-6.33731606529472,2.0133021670066817,2,0.9104273449362084,6.649433
5350395486857979008,161.1470067758609,-59.32432719514057,0.3809762105656705,-6.151707824166378,2.0366602350240948,2,0.9160519119107078,6.480084400000001
5350395486858242432,161.15498377315276,-59.32776539337864,0.4763018274557155,-5.9888617734424825,2.1945387086508843,2,0.9097978716706135,6.3782806
5350395516891140992,161.19931248823167,-59.3456182195041,0.4315731572243267,-6.268548431624597,2.012083897803034,2,0.9064642496688932,6.5835539999999995
5350395516891590912,161.18843024793054,-59.32917123900733,0.234373547587597,-6.142613192100893,2.152167252340052,2,0.9248597156604614,6.508726599999999
5350395521206848128,161.19150504115473,-59.34004892975466,0.23242971003669075,-5.891075992549102,2.3793017734313504,2,0.9333429415147428,6.3534125999999995
5350395521206848256,161.1902416136436,-59.339550308314045,0.3148295493572464,-6.229303094184001,1.8817909160407755,2,0.9003076661718271,6.507331
5350395521206848384,161.190665818358,-59.339875717730436,0.060951229852455685,-6.164262640085168,2.5797566172893145,2,0.9032854962965574,6.682311
5350395521206876032,161.19274466160005,-59.336334193226826,0.4043247732045702,-6.147479055011318,2.1782528667771333,2,0.9229480691572955,6.5219846
5350395521209284608,161.19861887582059,-59.343706979811905,0.20668572946432132,-6.429935911633668,2.2417190963710145,2,0.9191125235544012,6.8095064
5350395521217722624,161.18460401924048,-59.3366346934282,0.3745490942778889,-6.034459685559944,2.016430879352722,2,0.9175254209206488,6.3624444
5350395521217723904,161.17796543752632,-59.333352891368655,0.40658716010357343,-6.486807242294474,2.1348888579456897,2,0.9076832955420996,6.8290863
5350395521217726208,161.18017337694863,-59.33248787686586,0.3817470389759371,-6.159094336981584,2.2403175794096577,2,0.9276040732790974,6.5538893
